Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	From
56	Spectrogram 1	1	151214.079937500	151214.399937500	20.0	500.0	1.0000	Band Limited Energy Detector
57	Waveform 1	1	151223.999937500	151224.255937500	20.0	500.0	1.0000	Band Limited Energy Detector
57	Spectrogram 1	1	151223.999937500	151224.255937500	20.0	500.0	1.0000	Band Limited Energy Detector
58	Waveform 1	1	151232.479937500	151232.671937500	20.0	500.0	1.0000	Band Limited Energy Detector
58	Spectrogram 1	1	151232.479937500	151232.671937500	20.0	500.0	1.0000	Band Limited Energy Detector
59	Waveform 1	1	151248.863937500	151248.991937500	20.0	500.0	1.0000	Band Limited Energy Detector
59	Spectrogram 1	1	151248.863937500	151248.991937500	20.0	500.0	1.0000	Band Limited Energy Detector
60	Waveform 1	1	151258.687937500	151258.879937500	20.0	500.0	1.0000	Band Limited Energy Detector
60	Spectrogram 1	1	151258.687937500	151258.879937500	20.0	500.0	1.0000	Band Limited Energy Detector
61	Waveform 1	1	151270.527937500	151270.751937500	20.0	500.0	1.0000	Band Limited Energy Detector
61	Spectrogram 1	1	151270.527937500	151270.751937500	20.0	500.0	1.0000	Band Limited Energy Detector
62	Waveform 1	1	151279.359937500	151279.519937500	20.0	500.0	1.0000	Band Limited Energy Detector
62	Spectrogram 1	1	151279.359937500	151279.519937500	20.0	500.0	1.0000	Band Limited Energy Detector
63	Waveform 1	1	151284.543937500	151284.671937500	20.0	500.0	0.7500	Band Limited Energy Detector
63	Spectrogram 1	1	151284.543937500	151284.671937500	20.0	500.0	0.7500	Band Limited Energy Detector
64	Waveform 1	1	151297.599937500	151297.791937500	20.0	500.0	1.0000	Band Limited Energy Detector
64	Spectrogram 1	1	151297.599937500	151297.791937500	20.0	500.0	1.0000	Band Limited Energy Detector
65	Waveform 1	1	151315.455937500	151315.615937500	20.0	500.0	1.0000	Band Limited Energy Detector
65	Spectrogram 1	1	151315.455937500	151315.615937500	20.0	500.0	1.0000	Band Limited Energy Detector
66	Waveform 1	1	151317.311937500	151317.503937500	20.0	500.0	1.0000	Band Limited Energy Detector
66	Spectrogram 1	1	151317.311937500	151317.503937500	20.0	500.0	1.0000	Band Limited Energy Detector
67	Waveform 1	1	151346.527937500	151346.751937500	20.0	500.0	1.0000	Band Limited Energy Detector
67	Spectrogram 1	1	151346.527937500	151346.751937500	20.0	500.0	1.0000	Band Limited Energy Detector
68	Waveform 1	1	151362.367937500	151362.591937500	20.0	500.0	1.0000	Band Limited Energy Detector
68	Spectrogram 1	1	151362.367937500	151362.591937500	20.0	500.0	1.0000	Band Limited Energy Detector
69	Waveform 1	1	151373.055937500	151373.279937500	20.0	500.0	1.0000	Band Limited Energy Detector
69	Spectrogram 1	1	151373.055937500	151373.279937500	20.0	500.0	1.0000	Band Limited Energy Detector
70	Waveform 1	1	151380.639937500	151380.799937500	20.0	500.0	0.8000	Band Limited Energy Detector
70	Spectrogram 1	1	151380.639937500	151380.799937500	20.0	500.0	0.8000	Band Limited Energy Detector
71	Waveform 1	1	151386.751937500	151386.975937500	20.0	500.0	1.0000	Band Limited Energy Detector
71	Spectrogram 1	1	151386.751937500	151386.975937500	20.0	500.0	1.0000	Band Limited Energy Detector
72	Waveform 1	1	151396.639937500	151396.927937500	20.0	500.0	1.0000	Band Limited Energy Detector
72	Spectrogram 1	1	151396.639937500	151396.927937500	20.0	500.0	1.0000	Band Limited Energy Detector
73	Waveform 1	1	151422.143937500	151422.239937500	20.0	500.0	1.0000	Band Limited Energy Detector
73	Spectrogram 1	1	151422.143937500	151422.239937500	20.0	500.0	1.0000	Band Limited Energy Detector
74	Waveform 1	1	151423.199937500	151423.487937500	20.0	500.0	1.0000	Band Limited Energy Detector
74	Spectrogram 1	1	151423.199937500	151423.487937500	20.0	500.0	1.0000	Band Limited Energy Detector
75	Waveform 1	1	151429.983937500	151430.239937500	20.0	500.0	1.0000	Band Limited Energy Detector
75	Spectrogram 1	1	151429.983937500	151430.239937500	20.0	500.0	1.0000	Band Limited Energy Detector
76	Waveform 1	1	151431.743937500	151431.999937500	20.0	500.0	1.0000	Band Limited Energy Detector
76	Spectrogram 1	1	151431.743937500	151431.999937500	20.0	500.0	1.0000	Band Limited Energy Detector
77	Waveform 1	1	151435.519937500	151435.679937500	20.0	500.0	1.0000	Band Limited Energy Detector
77	Spectrogram 1	1	151435.519937500	151435.679937500	20.0	500.0	1.0000	Band Limited Energy Detector
78	Waveform 1	1	151453.983937500	151454.271937500	20.0	500.0	1.0000	Band Limited Energy Detector
78	Spectrogram 1	1	151453.983937500	151454.271937500	20.0	500.0	1.0000	Band Limited Energy Detector
79	Waveform 1	1	151457.375937500	151457.855937500	20.0	500.0	0.9333	Band Limited Energy Detector
79	Spectrogram 1	1	151457.375937500	151457.855937500	20.0	500.0	0.9333	Band Limited Energy Detector
80	Waveform 1	1	151474.143937500	151474.367937500	20.0	500.0	1.0000	Band Limited Energy Detector
